"","spp","year","lo","hi","index","se","habitat","elevation","endemic"
"1","ASW",2000,100,100,100,0,"rainforest","upland","endemic"
"2","ASW",2001,61.6241383637376,111.61782040188,87.847397120527,12.7652415923423,"rainforest","upland","endemic"
"3","ASW",2002,103.433235962185,174.77416169577,140.487527210764,18.2098313591136,"rainforest","upland","endemic"
"4","ASW",2003,62.9596034493358,111.796108582513,88.5709813024797,12.4696795997127,"rainforest","upland","endemic"
"5","ASW",2004,46.4782957415495,86.6472016802519,67.6854132017888,10.2593639858397,"rainforest","upland","endemic"
"6","ASW",2005,54.1730154833501,98.4271915527989,77.4562760606514,11.30109863436,"rainforest","upland","endemic"
"7","ASW",2006,37.6773362939901,73.0579312805668,56.4504526451096,9.03850318531776,"rainforest","upland","endemic"
"8","ASW",2007,63.9627843481461,113.317928244932,89.8376193169254,12.6019475275539,"rainforest","upland","endemic"
"9","ASW",2008,39.7829431823657,76.322873196081,59.1454219922075,9.33407727455594,"rainforest","upland","endemic"
"10","ASW",2009,56.5335078728955,102.026330905174,80.4461492342571,11.6169682675591,"rainforest","upland","endemic"
"11","ASW",2010,51.6711899895631,94.6055773595422,74.2837862808914,10.9645452140537,"rainforest","upland","endemic"
"12","ASW",2011,53.2320079545093,97.7474168777146,76.6587460171734,11.3679299521081,"rainforest","upland","endemic"
"13","ASW",2012,13.6702203188382,34.6379458847296,25.116393943638,5.36585101581028,"rainforest","upland","endemic"
"14","ASW",2013,51.3447032902729,94.1062942265863,73.8694872732964,10.9204818466224,"rainforest","upland","endemic"
"15","ASW",2014,44.1133704585374,83.0094961050945,64.673560461854,9.93482927440431,"rainforest","upland","endemic"
"16","ASW",2015,24.2379999690674,52.6798214501989,39.4996159697816,7.27025047056316,"rainforest","upland","endemic"
"17","ASW",2016,28.7616054389771,59.1045966356176,44.9735709269343,7.75433936198314,"rainforest","upland","endemic"
"18","BFMON",2000,100,100,100,0,"rainforest","midland",""
"19","BFMON",2001,131.433162097697,188.526046652217,160.673566248179,14.5680116014583,"rainforest","midland",""
"20","BFMON",2002,110.644980126747,157.227461109254,134.554951713771,11.8866536251908,"rainforest","midland",""
"21","BFMON",2003,143.125635810442,203.974511300902,174.260268978005,15.5261342764268,"rainforest","midland",""
"22","BFMON",2004,55.6802940652271,83.6041882958552,70.1559199573197,7.12719294525732,"rainforest","midland",""
"23","BFMON",2005,102.967912768951,146.221440732296,125.190293505908,11.0374089134121,"rainforest","midland",""
"24","BFMON",2006,40.8264324358728,63.6769700482569,52.736544188535,5.83326541838745,"rainforest","midland",""
"25","BFMON",2007,68.2655234936929,100.356173281747,84.8476326063186,8.18998055433013,"rainforest","midland",""
"26","BFMON",2008,50.5928190673613,76.8024613765862,64.201650479677,6.68996839682,"rainforest","midland",""
"27","BFMON",2009,14.9111298963864,27.9137558943198,21.8412114538298,3.32246324475524,"rainforest","midland",""
"28","BFMON",2010,46.8136802417042,71.7354844419063,59.7712749686821,6.36151126223445,"rainforest","midland",""
"29","BFMON",2011,66.9132680336475,99.4268063721318,83.7175540607304,8.2979546191046,"rainforest","midland",""
"30","BFMON",2012,79.8422779812493,115.69830304505,98.327426853821,9.15043008166713,"rainforest","midland",""
